City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Kloulklubed,PW,2022-01-25 02:22:16,7.0419,134.2556,82.9,79,94,18.21
261,Belfast,GB,2022-01-25 02:18:54,54.5833,-5.9333,42.62,87,100,4.61
262,Rawson,AR,2022-01-25 02:20:51,-43.3002,-65.1023,70.95,37,0,20.56
263,Bethel,US,2022-01-25 02:22:17,41.3712,-73.414,32.0,80,100,0.0
264,Nuuk,GL,2022-01-25 02:22:17,64.1835,-51.7216,22.87,92,100,15.01
265,Srednekolymsk,RU,2022-01-25 02:22:17,67.45,153.6833,-26.27,98,99,6.87
266,Cairns,AU,2022-01-25 02:22:18,-16.9167,145.7667,92.07,75,100,8.05
267,Ferrol,ES,2022-01-25 02:22:18,43.4832,-8.2369,44.51,84,0,4.7
268,Evensk,RU,2022-01-25 02:22:18,61.95,159.2333,-4.79,85,94,3.76
269,Ilulissat,GL,2022-01-25 02:22:19,69.2167,-51.1,23.02,50,100,12.66
270,Ankazobe,MG,2022-01-25 02:22:19,-18.3167,47.1167,64.81,92,100,6.13
271,Hamilton,US,2022-01-25 02:20:43,39.1834,-84.5333,39.42,93,100,1.01
272,Marion,US,2022-01-25 02:21:47,39.7684,-86.1555,34.12,78,100,13.8
273,Nguruka,TZ,2022-01-25 02:22:20,-5.1092,31.0419,65.26,95,100,2.77
274,Memphis,US,2022-01-25 02:20:17,35.1495,-90.049,53.11,63,0,8.05
275,Aklavik,CA,2022-01-25 02:22:20,68.2191,-135.0107,21.92,90,100,12.5
276,Beyneu,KZ,2022-01-25 02:22:21,45.3167,55.2,27.39,87,56,14.27
277,Lavrentiya,RU,2022-01-25 02:22:21,65.5833,-171.0,-6.93,97,100,6.71
278,Meadow Lake,US,2022-01-25 02:22:22,34.8014,-106.5436,46.11,37,0,2.77
279,Maroantsetra,MG,2022-01-25 02:22:22,-15.4333,49.7333,72.46,97,100,3.33
280,Musenita,RO,2022-01-25 02:23:22,47.9667,26.0,12.87,93,6,4.23
281,Klaksvik,FO,2022-01-25 02:23:22,62.2266,-6.589,41.92,74,100,18.39
282,Tuktoyaktuk,CA,2022-01-25 02:23:23,69.4541,-133.0374,17.6,93,100,13.8
283,Lata,PT,2022-01-25 02:23:23,40.1629,-8.3327,41.05,84,0,4.59
284,Thabazimbi,ZA,2022-01-25 02:23:24,-24.5917,27.4116,68.9,55,8,3.74
285,Tucson,US,2022-01-25 02:18:25,32.2217,-110.9265,61.3,34,0,1.01
286,Zaraza,VE,2022-01-25 02:23:24,9.3503,-65.3245,74.82,76,92,7.65
287,Tchollire,CM,2022-01-25 02:23:24,8.4022,14.1698,66.67,18,44,1.39
288,Itupiranga,BR,2022-01-25 02:23:25,-5.1347,-49.3267,72.36,96,100,3.13
289,Quatre Cocos,MU,2022-01-25 02:23:25,-20.2078,57.7625,77.11,63,94,17.29
290,Ha Tinh,VN,2022-01-25 02:18:50,18.3333,105.9,73.67,84,41,3.83
291,Dengzhou,CN,2022-01-25 02:23:26,37.8086,120.7508,35.13,67,90,10.36
