City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Santa Helena De Goias,BR,76.37,overcast clouds,-17.8136,-50.5969,Hotel Cana Verde
370,Seoul,KR,27.79,mist,37.5683,126.9778,LOTTE Hotel Seoul
371,Les Cayes,HT,78.96,broken clouds,18.2,-73.75,Villa Orphee
373,Socorro,US,64.38,few clouds,31.6546,-106.3033,guarderia imss papalote
374,Sabha,LY,44.8,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
375,Ojinaga,MX,70.57,clear sky,29.5667,-104.4167,Suites Las Palmas
378,Berea,US,20.89,few clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
379,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
382,Misratah,LY,51.82,overcast clouds,32.3754,15.0925,Almasa Hotel
383,Srandakan,ID,78.66,overcast clouds,-7.9386,110.2506,Puri Brata
384,Wainwright,CA,30.06,overcast clouds,52.839,-110.8572,Ramada by Wyndham Wainwright
