City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Mamallapuram,IN,12.6264,80.1722,79.05,74,59,5.39,broken clouds
285,Cabo San Lucas,MX,22.8909,-109.9124,76.6,50,0,4.0,clear sky
286,San Vicente,AR,-26.6167,-54.1333,88.23,43,68,1.14,light rain
287,Cururupu,BR,-1.8283,-44.8683,76.33,88,86,3.65,overcast clouds
288,Glendive,US,47.1053,-104.7125,17.53,67,0,11.5,clear sky
289,Atherton,GB,53.5237,-2.4935,42.69,88,99,5.57,overcast clouds
290,Halifax,CA,44.6453,-63.5724,39.2,96,75,3.0,broken clouds
291,Umm Lajj,SA,25.0213,37.2685,63.54,61,0,14.12,clear sky
292,Marsh Harbour,BS,26.5412,-77.0636,69.35,61,95,4.43,overcast clouds
293,Sitka,US,57.0531,-135.33,39.09,87,75,0.0,broken clouds
294,Churapcha,RU,62.0025,132.4325,-29.49,100,100,2.71,overcast clouds
295,Kazachinskoye,RU,57.6953,93.2761,-2.79,100,97,1.92,overcast clouds
296,Griffith,US,41.5284,-87.4237,14.11,53,0,1.99,clear sky
297,Novyy Urgal,RU,51.0736,132.5642,-24.88,100,98,0.74,overcast clouds
298,Mao,ES,39.8885,4.2658,43.36,93,0,4.61,clear sky
299,Haines Junction,CA,60.7522,-137.5108,31.95,64,73,3.44,broken clouds
300,Novikovo,RU,51.1537,37.8879,13.44,95,100,4.97,snow
301,Betare Oya,CM,5.6,14.0833,71.47,23,100,5.44,overcast clouds
302,Mayskiy,RU,47.6931,40.1025,24.44,99,96,5.61,overcast clouds
303,Polunochnoye,RU,60.8697,60.4153,7.34,91,92,4.68,overcast clouds
304,Candolim,IN,15.5181,73.7626,68.0,77,9,5.75,clear sky
305,Lively,CA,46.4334,-81.1498,0.41,71,99,1.05,overcast clouds
306,Kholodnyy,RU,62.7167,147.95,-19.39,99,100,1.59,overcast clouds
307,Aksu,CN,41.1231,80.2644,21.36,65,19,2.19,few clouds
308,Hambantota,LK,6.1241,81.1185,72.23,85,90,9.17,overcast clouds
309,Malatya,TR,38.5,38.0,19.45,93,100,4.61,light snow
310,Fairbanks,US,64.8378,-147.7164,21.16,74,100,1.01,overcast clouds
311,Milas,TR,37.3164,27.7839,31.35,74,0,2.3,clear sky
312,Beian,NO,63.6559,9.5683,36.01,100,100,21.85,moderate rain
313,Muros,ES,42.7762,-9.0603,48.24,90,0,9.04,clear sky
314,Kieta,PG,-6.2167,155.6333,82.67,79,93,3.33,overcast clouds
315,Tooele,US,40.5308,-112.2983,38.32,69,0,0.0,clear sky
316,Tshikapa,CD,-6.4167,20.8,71.28,92,90,0.54,light rain
317,Torbay,CA,47.6666,-52.7314,29.57,88,75,4.61,broken clouds
318,Jieshi,CN,22.8134,115.8257,64.94,84,99,17.56,overcast clouds
319,Santa Fe,AR,-31.6333,-60.7,80.02,82,100,4.0,overcast clouds
320,Belaya Gora,RU,68.5333,146.4167,-32.53,100,95,3.27,overcast clouds
321,Asilah,MA,35.465,-6.0348,58.96,77,93,20.94,overcast clouds
322,Portland,US,45.5234,-122.6762,55.45,60,20,1.01,few clouds
323,Katangli,RU,51.7102,143.2326,-6.56,97,35,7.87,scattered clouds
324,Araouane,ML,18.9048,-3.5265,68.23,16,100,10.58,overcast clouds
325,Shagonar,RU,51.5333,92.8,-11.79,99,99,2.46,overcast clouds
326,Bilma,NE,18.6853,12.9164,58.91,21,0,15.88,clear sky
327,Vitim,RU,59.4511,112.5578,-2.49,99,98,4.47,overcast clouds
328,Hualmay,PE,-11.0964,-77.6139,74.25,76,66,11.54,broken clouds
329,Constitucion,CL,-35.3333,-72.4167,65.43,72,15,10.83,few clouds
330,Ahipara,NZ,-35.1667,173.1667,74.23,76,74,9.55,broken clouds
331,Port Macquarie,AU,-31.4333,152.9167,73.36,73,100,1.57,overcast clouds
332,Shingu,JP,33.7333,135.9833,40.84,80,10,5.75,clear sky
333,Tabou,CI,4.423,-7.3528,78.71,81,4,7.07,clear sky
334,Mogadouro,PT,41.3403,-6.7119,34.79,83,3,5.26,clear sky
335,Huambo,AO,-12.7761,15.7392,61.93,75,79,1.72,broken clouds
336,Tonstad,NO,58.6626,6.7169,43.93,99,100,8.93,light rain
337,Puerto El Triunfo,SV,13.2833,-88.55,86.16,61,15,8.66,few clouds
338,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,thunderstorm
339,Zyryanka,RU,65.75,150.85,-35.0,99,98,5.79,overcast clouds
340,Merke,KZ,42.8728,73.1786,28.45,65,94,3.4,overcast clouds
341,Ziyang,CN,29.2497,117.8547,46.35,96,100,3.53,overcast clouds
342,Port-Cartier,CA,50.0334,-66.8654,7.75,96,97,4.79,overcast clouds
343,Marathon,US,44.9,-89.7668,1.35,59,0,11.5,clear sky
344,Yumen,CN,40.2833,97.2,17.31,45,5,8.43,clear sky
